Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Total_Mean,ES_Total_Mean,POS_Group
30 - 34 years old,Male,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05,1.0,Low Support
20 - 24 years old,Female,Single,Sri Lankan / Sri Lanka,Bachelor's Degree,3 - 4 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,5,4,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,4.75,4.7,High Support
40 and above,Female,Single,Chinese / China,Doctorate Degree,1 - 2 years,Others (please specify),2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,4,4,3,4,4,3,2,3,5,5,3,4,3,4,3,2,3,4,3,3,4,4,4,3,3,3,3,4,4,3.45,3.5,Low Support
25 - 29 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,3,5,5,5,5,5,4,5,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4.25,3.7,High Support
40 and above,Male,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,3,5,4.7,4.8,High Support
25 - 29 years old,Female,Married,Nepali,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,2,4,4,3,3,2,2,2,3,3,3.55,2.8,Moderate Support
25 - 29 years old,Female,Married,Bhutanese ,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,5,4,3,4,4,3,4,4,3,3,4,3,3,3,4,3.8,3.4,Moderate Support
20 - 24 years old,Male,Widow/Widower,New Zealander / New Zealand,Bachelor's Degree,3 - 4 years,Others (please specify),4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",2,1,1,1,1,3,2,4,4,4,3,4,3,2,5,3,4,4,5,4,3,1,3,5,3,2,4,4,3,2,3.0,3.0,Low Support
40 and above,Male,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,5,4.9,3.7,High Support
35 - 39 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,5,5,4,5,4,4,5,5,2,4,4,4,4,4,4,4,5,5,2,4,3,4,3,4.15,3.8,High Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.0,High Support
30 - 34 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,2,3,3,3.8,3.4,Moderate Support
