Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Recog_Mean,POS_Sup_Mean,POS_Cond_Mean,POS_Fair_Mean,ES_Int_Mean,ES_Ext_Mean,POS_Total_Mean,ES_Total_Mean,POS_Group
Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,4,4,4,5,5,4,5,4,4,5,5,2,4,4,4,4,4,4,4,5,5,2,4,3,4,3,,4.0,4.6,4.0,4.0,4.0,3.5,4.15,3.7777777777777777,High Support
Female,Single,Chinese / China,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Low Support
Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Strongly Agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,,5.0,5.0,5.0,5.0,4.6,5.0,5.0,4.777777777777778,High Support
Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,4 years and above,Executive Level (Top level of Leadership),"$3,001 - $4,000",Agree,4,3,4,3,3,3,4,4,5,3,3,3,3,4,3,3,3,4,3,4,4,3,5,4,3,4,3,4,3,,3.4,3.8,3.2,3.4,3.8,3.5,3.45,3.6666666666666665,Low Support
Female,Married,Bangladesh ,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Agree,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,,3.6,3.6,4.0,3.8,4.0,4.0,3.75,4.0,Moderate Support
Female,Single,Nepali,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,3,4,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,,3.4,4.0,3.6,3.8,4.0,3.75,3.7,3.888888888888889,Moderate Support
Female,Single,Indian / India,Master's Degree,5 years and above,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,,4.6,4.2,4.2,4.2,4.4,4.0,4.3,4.222222222222222,High Support
Female,Single, Asian,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,,5.0,5.0,5.0,4.8,5.0,5.0,4.95,5.0,High Support
Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2.8,3.0,3.0,3.0,3.0,3.0,2.95,3.0,Low Support
Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,3,4,3,,4.0,4.0,4.0,3.8,3.4,3.0,3.95,3.2222222222222223,Moderate Support
Female,Married,Nepal,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Married,Bhutan ,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,3,4,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,,3.4,3.6,3.8,3.2,3.4,3.5,3.5,3.4444444444444446,Moderate Support
Female,Married,Korean,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Low Support
Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Business / Finance,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Agree,4,3,4,4,5,4,4,5,5,5,4,5,5,4,4,4,4,4,5,4,5,5,5,5,4,3,4,4,4,,4.0,4.6,4.4,4.2,4.8,3.75,4.3,4.333333333333333,High Support
