Type,Row_Content,Raw_Data
Unknown,Region Major Provinces Key Characteristics Source,"['Region', 'Major Provinces', 'Key Characteristics', 'Source']"
Study Population,"Region III (Central Luzon) Nueva Ecija, Tarlac, Pampanga, Bulacan Major irrigation infrastructure Philippine Statistics Authority","['Region III (Central Luzon)', 'Nueva Ecija, Tarlac, Pampanga, Bulacan', 'Major irrigation infrastructure', 'Philippine Statistics Authority']"
Study Population,"Region II (Cagayan Valley) Isabela, Cagayan Large agricultural area Philippine Statistics Authority","['Region II (Cagayan Valley)', 'Isabela, Cagayan', 'Large agricultural area', 'Philippine Statistics Authority']"
Study Population,"Region VI (Western Visayas) Iloilo, Negros Occidental Significant production volume Philippine Statistics Authority","['Region VI (Western Visayas)', 'Iloilo, Negros Occidental', 'Significant production volume', 'Philippine Statistics Authority']"
Study Population,"Region I (Ilocos Region) Pangasinan, Ilocos Norte Important production area Philippine Statistics Authority","['Region I (Ilocos Region)', 'Pangasinan, Ilocos Norte', 'Important production area', 'Philippine Statistics Authority']"
Study Population,Region V (Bicol Region) Camarines Sur Distinct climate patterns Philippine Statistics Authority,"['Region V (Bicol Region)', 'Camarines Sur', 'Distinct climate patterns', 'Philippine Statistics Authority']"
Unknown,Source Name Authority/Organization Database/Access Point Data Type Years,"['Source Name', 'Authority/Organization', 'Database/Access Point', 'Data Type', 'Years']"
Data Source,"PSA Production Survey Philippine Statistics Authority Survey on Costs and Returns of Palay Production costs, yields, prices 2015-2024","['PSA Production Survey', 'Philippine Statistics Authority', 'Survey on Costs and Returns of Palay', 'Production costs, yields, prices', '2015-2024']"
Data Source,"PhilRice RBFHS Philippine Rice Research Institute Rice-Based Farm Household Survey Technology, farming practices 2015-2024","['PhilRice RBFHS', 'Philippine Rice Research Institute', 'Rice-Based Farm Household Survey', 'Technology, farming practices', '2015-2024']"
Data Source,"DA Statistics Department of Agriculture DA Online Portals & PIA Releases Production, policies, programs 2015-2025","['DA Statistics', 'Department of Agriculture', 'DA Online Portals & PIA Releases', 'Production, policies, programs', '2015-2025']"
Data Source,"PAGASA Climate Data Philippine Atmospheric Services PAGASA Agri-Weather Monitoring Climate, rainfall, temperature 2015-2025","['PAGASA Climate Data', 'Philippine Atmospheric Services', 'PAGASA Agri-Weather Monitoring', 'Climate, rainfall, temperature', '2015-2025']"
Data Source,"DENR/NICCDIES Dept. Environment & Natural Resources DENR Monitoring & NICCDIES Database GHG emissions, environmental costs 2015-2024","['DENR/NICCDIES', 'Dept. Environment & Natural Resources', 'DENR Monitoring & NICCDIES Database', 'GHG emissions, environmental costs', '2015-2024']"
Data Source,"IRRI Research International Rice Research Institute IRRI News & Publications Pest management, climate research 2024-2025","['IRRI Research', 'International Rice Research Institute', 'IRRI News & Publications', 'Pest management, climate research', '2024-2025']"
Unknown,"Climate Transparency Climate Transparency Network Climate Performance Reports Emissions, climate targets 2015-2020","['Climate Transparency', 'Climate Transparency Network', 'Climate Performance Reports', 'Emissions, climate targets', '2015-2020']"
Unknown,Criterion Method,"['Criterion', 'Method']"
Data Source,"Source Credibility Verified government agencies (PSA, DA, PAGASA, DENR) and international institutions (IRRI)","['Source Credibility', 'Verified government agencies (PSA, DA, PAGASA, DENR) and international institutions (IRRI)']"
Data Source,"Cross-Verification Production and climate data compared across PSA, PhilRice, and DA sources","['Cross-Verification', 'Production and climate data compared across PSA, PhilRice, and DA sources']"
Unknown,Temporal Alignment Data aligned to 2015-2024 period with 2025 updates where available,"['Temporal Alignment', 'Data aligned to 2015-2024 period with 2025 updates where available']"
Unknown,Accessibility All sources publicly accessible via government websites or open databases,"['Accessibility', 'All sources publicly accessible via government websites or open databases']"
