Respondent #,Date,PAB1,PAB2,PAB3,PAB4,PAB5,PAB6,PAB7,Mean PAB,Ordinal PAB,HSA1,HSA2,HSA3,HSA4,HSA5,HSA6,HSA7,Mean HSA,Ordinal HSA,IRS1,IRS2,IRS3,IRS4,IRS5,IRS6,IRS7,Mean IRS,Ordinal IRS,VH1,VH2,VH3,VH4,VH5,Mean VH,Ordinal VH
R01,02/08/2026,4,4,3,4,3,4,4,3.71,4,4,5,2,5,4,5,3,4.00,4,2,2,4,4,5,5,2,3.43,4,5,2,5,5,5,4.40,5
R02,02/08/2026,4,3,4,5,3,2,5,3.71,4,2,5,4,4,4,5,4,4.00,4,4,4,4,4,4,3,2,3.57,4,4,1,5,5,5,4.00,4
R03,02/08/2026,4,2,4,4,2,4,4,3.43,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,2,2,3.43,4,4,2,4,4,4,3.60,4
R04,02/08/2026,4,2,4,4,4,4,4,3.71,4,2,2,4,2,2,2,2,2.29,2,2,2,2,4,4,2,2,2.57,2,4,4,4,4,4,4.00,4
R05,02/08/2026,2,2,4,2,4,4,4,3.14,3,2,1,4,1,3,1,2,2.00,2,4,4,4,4,1,2,1,2.86,3,3,4,4,4,3,3.60,4
R06,02/08/2026,4,2,4,4,2,2,2,2.86,3,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R07,02/08/2026,4,2,2,2,2,2,2,2.29,2,4,4,2,4,4,4,3,3.57,4,2,3,4,4,4,4,1,3.14,3,4,2,4,4,4,3.60,4
R08,02/08/2026,4,2,4,2,4,4,4,3.43,4,2,1,4,4,4,4,4,3.29,3,2,4,4,4,4,4,4,3.71,4,4,4,3,3,4,3.60,4
R09,02/08/2026,4,4,4,4,4,4,4,4.00,4,2,4,4,4,4,4,4,3.71,4,2,4,4,4,4,4,4,3.71,4,4,2,4,4,4,3.60,4
R10,02/08/2026,2,2,4,2,4,4,4,3.14,3,3,2,5,3,3,2,2,2.86,3,2,4,4,4,2,4,1,3.00,3,3,2,3,3,3,2.80,3
R11,02/08/2026,3,4,4,2,4,4,4,3.57,4,2,2,4,2,2,2,4,2.57,2,2,2,2,4,4,2,2,2.57,2,4,4,4,4,4,4.00,4
R12,02/08/2026,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,4,4,3.71,4,2,4,2,4,4,2,2,2.86,3,4,2,4,4,4,3.60,4
R13,02/08/2026,2,4,2,4,2,2,4,2.86,3,2,2,4,4,4,4,2,3.14,3,2,4,4,4,4,4,4,3.71,4,4,2,4,4,4,3.60,4
R14,02/08/2026,4,5,4,4,4,3,3,3.86,4,2,3,4,4,4,4,4,3.57,4,4,3,4,4,4,4,4,3.86,4,3,3,4,4,4,3.60,4
R15,02/08/2026,3,2,3,3,2,5,5,3.29,3,4,4,2,4,4,1,3,3.14,3,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R16,02/08/2026,4,3,3,3,2,2,2,2.71,3,4,5,4,4,3,3,4,3.86,4,4,4,4,5,4,4,3,4.00,4,3,3,4,4,4,3.60,4
R17,02/08/2026,2,2,3,4,2,4,4,3.00,3,4,4,2,4,4,4,2,3.43,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R18,02/08/2026,2,4,4,4,4,4,4,3.71,4,2,2,4,2,2,2,3,2.43,2,2,2,2,4,4,2,2,2.57,2,4,2,4,4,4,3.60,4
R19,02/08/2026,4,2,4,3,5,5,5,4.00,4,4,1,3,4,4,4,2,3.14,3,4,4,4,4,2,3,2,3.29,3,4,2,5,5,5,4.20,5
R20,02/08/2026,5,2,4,5,2,3,3,3.43,4,5,5,2,5,5,5,5,4.57,5,5,5,5,5,5,5,5,5.00,5,5,2,5,5,5,4.40,5
R21,02/08/2026,3,3,4,3,3,3,3,3.14,3,4,4,4,4,4,4,4,4.00,4,4,4,4,4,4,4,4,4.00,4,4,3,4,4,4,3.80,4
R22,02/08/2026,5,5,3,5,1,1,1,3.00,3,3,5,2,5,5,5,1,3.71,4,5,5,5,5,3,5,5,4.71,5,5,1,5,5,5,4.20,5
R23,02/08/2026,4,2,2,4,4,4,4,3.43,4,4,4,2,4,2,3,3,3.14,3,2,3,4,4,4,4,2,3.29,3,4,2,4,4,4,3.60,4
