Organism,Treatment,Temperature_C,Time_h,mean,std,count
Escherichia coli,1,50.0,4.0,4.1667,3.6171,3
Escherichia coli,2,50.0,6.0,6.3333,0.2887,3
Escherichia coli,3,50.0,8.0,6.1667,0.2887,3
Escherichia coli,4,60.0,4.0,6.3333,0.2887,3
Escherichia coli,5,60.0,6.0,6.3333,0.2887,3
Escherichia coli,6,60.0,8.0,6.5,0.0,3
Escherichia coli,7,70.0,4.0,6.0,0.0,3
Escherichia coli,8,70.0,6.0,6.0,0.0,3
Escherichia coli,9,70.0,8.0,6.0,0.0,3
Salmonella spp.,1,50.0,4.0,6.0,0.0,3
Salmonella spp.,2,50.0,6.0,6.0,0.0,3
Salmonella spp.,3,50.0,8.0,6.0,0.0,3
Salmonella spp.,4,60.0,4.0,6.0,0.0,3
Salmonella spp.,5,60.0,6.0,6.0,0.0,3
Salmonella spp.,6,60.0,8.0,6.0,0.0,3
Salmonella spp.,7,70.0,4.0,6.0,0.0,3
Salmonella spp.,8,70.0,6.0,6.0,0.0,3
Salmonella spp.,9,70.0,8.0,6.0,0.0,3
Staphylococcus aureus,1,50.0,4.0,6.3333,0.2887,3
Staphylococcus aureus,2,50.0,6.0,6.1667,0.2887,3
Staphylococcus aureus,3,50.0,8.0,6.5,0.0,3
Staphylococcus aureus,4,60.0,4.0,6.3333,0.2887,3
Staphylococcus aureus,5,60.0,6.0,6.8333,0.2887,3
Staphylococcus aureus,6,60.0,8.0,6.8333,0.2887,3
Staphylococcus aureus,7,70.0,4.0,6.25,0.0,3
Staphylococcus aureus,8,70.0,6.0,6.0,0.0,3
Staphylococcus aureus,9,70.0,8.0,6.0,0.0,3
