Treatment,Zone_mm,Organism,Replicate,Temperature_C,Time_h
1,6.5,Staphylococcus aureus,1,50.0,4.0
1,6.5,Staphylococcus aureus,2,50.0,4.0
1,6.0,Staphylococcus aureus,3,50.0,4.0
2,6.0,Staphylococcus aureus,1,50.0,6.0
2,6.5,Staphylococcus aureus,2,50.0,6.0
2,6.0,Staphylococcus aureus,3,50.0,6.0
3,6.5,Staphylococcus aureus,1,50.0,8.0
3,6.5,Staphylococcus aureus,2,50.0,8.0
3,6.5,Staphylococcus aureus,3,50.0,8.0
4,6.5,Staphylococcus aureus,1,60.0,4.0
4,6.5,Staphylococcus aureus,2,60.0,4.0
4,6.0,Staphylococcus aureus,3,60.0,4.0
5,7.0,Staphylococcus aureus,1,60.0,6.0
5,6.5,Staphylococcus aureus,2,60.0,6.0
5,7.0,Staphylococcus aureus,3,60.0,6.0
6,6.5,Staphylococcus aureus,1,60.0,8.0
6,7.0,Staphylococcus aureus,2,60.0,8.0
6,7.0,Staphylococcus aureus,3,60.0,8.0
7,6.25,Staphylococcus aureus,1,70.0,4.0
7,6.25,Staphylococcus aureus,2,70.0,4.0
7,6.25,Staphylococcus aureus,3,70.0,4.0
8,6.0,Staphylococcus aureus,1,70.0,6.0
8,6.0,Staphylococcus aureus,2,70.0,6.0
8,6.0,Staphylococcus aureus,3,70.0,6.0
9,6.0,Staphylococcus aureus,1,70.0,8.0
9,6.0,Staphylococcus aureus,2,70.0,8.0
9,6.0,Staphylococcus aureus,3,70.0,8.0
0,6.25,Staphylococcus aureus,1,,
0,6.0,Staphylococcus aureus,2,,
0,6.25,Staphylococcus aureus,3,,
1,6.5,Escherichia coli,1,50.0,4.0
1,0.0,Escherichia coli,2,50.0,4.0
1,6.0,Escherichia coli,3,50.0,4.0
2,6.5,Escherichia coli,1,50.0,6.0
2,6.0,Escherichia coli,2,50.0,6.0
2,6.5,Escherichia coli,3,50.0,6.0
3,6.5,Escherichia coli,1,50.0,8.0
3,6.0,Escherichia coli,2,50.0,8.0
3,6.0,Escherichia coli,3,50.0,8.0
4,6.0,Escherichia coli,1,60.0,4.0
4,6.5,Escherichia coli,2,60.0,4.0
4,6.5,Escherichia coli,3,60.0,4.0
5,6.5,Escherichia coli,1,60.0,6.0
5,6.5,Escherichia coli,2,60.0,6.0
5,6.0,Escherichia coli,3,60.0,6.0
6,6.5,Escherichia coli,1,60.0,8.0
6,6.5,Escherichia coli,2,60.0,8.0
6,6.5,Escherichia coli,3,60.0,8.0
7,6.0,Escherichia coli,1,70.0,4.0
7,6.0,Escherichia coli,2,70.0,4.0
7,6.0,Escherichia coli,3,70.0,4.0
8,6.0,Escherichia coli,1,70.0,6.0
8,6.0,Escherichia coli,2,70.0,6.0
8,6.0,Escherichia coli,3,70.0,6.0
9,6.0,Escherichia coli,1,70.0,8.0
9,6.0,Escherichia coli,2,70.0,8.0
9,6.0,Escherichia coli,3,70.0,8.0
0,6.5,Escherichia coli,1,,
0,6.5,Escherichia coli,2,,
0,6.0,Escherichia coli,3,,
1,6.0,Salmonella spp.,1,50.0,4.0
1,6.0,Salmonella spp.,2,50.0,4.0
1,6.0,Salmonella spp.,3,50.0,4.0
2,6.0,Salmonella spp.,1,50.0,6.0
2,6.0,Salmonella spp.,2,50.0,6.0
2,6.0,Salmonella spp.,3,50.0,6.0
3,6.0,Salmonella spp.,1,50.0,8.0
3,6.0,Salmonella spp.,2,50.0,8.0
3,6.0,Salmonella spp.,3,50.0,8.0
4,6.0,Salmonella spp.,1,60.0,4.0
4,6.0,Salmonella spp.,2,60.0,4.0
4,6.0,Salmonella spp.,3,60.0,4.0
5,6.0,Salmonella spp.,1,60.0,6.0
5,6.0,Salmonella spp.,2,60.0,6.0
5,6.0,Salmonella spp.,3,60.0,6.0
6,6.0,Salmonella spp.,1,60.0,8.0
6,6.0,Salmonella spp.,2,60.0,8.0
6,6.0,Salmonella spp.,3,60.0,8.0
7,6.0,Salmonella spp.,1,70.0,4.0
7,6.0,Salmonella spp.,2,70.0,4.0
7,6.0,Salmonella spp.,3,70.0,4.0
8,6.0,Salmonella spp.,1,70.0,6.0
8,6.0,Salmonella spp.,2,70.0,6.0
8,6.0,Salmonella spp.,3,70.0,6.0
9,6.0,Salmonella spp.,1,70.0,8.0
9,6.0,Salmonella spp.,2,70.0,8.0
9,6.0,Salmonella spp.,3,70.0,8.0
0,6.0,Salmonella spp.,1,,
0,6.0,Salmonella spp.,2,,
0,6.0,Salmonella spp.,3,,
