Treatment,WAC,L_star,a_star,b_star,C_workbook,H_workbook,Delta_E_workbook,Aw,MC_percent,WSI,pH,TSS,Temperature_C,Time_h,Replicate,Chroma_C,Hue_deg,Delta_E_vs_T1
1,285.06,62.48,3.69,17.21,0,0,0,0.628,10.38,15.8409,,,50,4,1,17.60114200840389,77.89842226754855,0.4238710495736438
1,296.55,62.11,3.8,17.49,0,0,0,0.635,10.47,19.2277,,,50,4,2,17.898047379532773,77.74202663520538,0.16633299933165865
1,307.57,61.66,3.86,17.28,0,0,0,0.634,10.36,18.5544,,,50,4,3,17.705874731286226,77.40801392689077,0.4327431878917005
2,330.67,62.04,4.0,17.6,0,0,0,0.631,9.91,11.4008,,,50,6,1,18.048822676285564,77.19573393471326,0.35147309048252
2,273.84,61.93,3.95,17.61,0,0,0,0.628,9.69,10.1819,,,50,6,2,18.04756493269937,77.35755816350503,0.3627211968808364
2,301.2,61.65,4.23,17.7,0,0,0,0.628,10.1,9.9884,,,50,6,3,18.198431251072165,76.55937292769961,0.7257180352359096
3,328.73,61.66,3.86,17.22,0,0,0,0.599,9.83,10.7592,,,50,8,1,17.647322743124523,77.36554561368858,0.4432456053551711
3,344.69,61.63,3.87,17.25,0,0,0,0.609,9.74,10.7502,,,50,8,2,17.678783894827156,77.35518774208097,0.4678675026115835
3,326.25,61.57,3.86,17.22,0,0,0,0.613,9.7,10.3897,,,50,8,3,17.647322743124523,77.36554561368858,0.5298741989063719
4,347.16,61.63,3.76,18.76,0,0,0,0.625,10.29,9.5856,,,60,4,1,19.13309175224956,78.66657602278072,1.5034959261667458
4,339.73,61.09,3.77,18.66,0,0,0,0.609,9.86,9.4151,,,60,4,2,19.037029705287534,78.5779197542167,1.6627286810140316
4,336.73,61.15,3.52,18.28,0,0,0,0.626,10.25,9.5456,,,60,4,3,18.615821228191894,79.10052331580523,1.3598897014096425
5,360.62,60.63,3.71,18.2,0,0,0,0.596,8.83,9.1846,,,60,6,1,18.574285988968725,78.47833242364321,1.6971348404492388
5,362.04,60.28,3.75,18.14,0,0,0,0.579,8.98,9.3474,,,60,6,2,18.523555274298722,78.32003110914209,1.9785432351438106
5,370.15,60.6,3.82,18.19,0,0,0,0.561,8.98,9.2176,,,60,6,3,18.586782938421592,78.13991919846993,1.716673139146375
6,293.91,60.27,3.87,18.49,0,0,0,0.579,8.34,8.3783,,,60,8,1,18.890659067380366,78.17851165939275,2.156161713168408
6,313.72,60.47,3.89,18.58,0,0,0,0.569,8.27,8.4731,,,60,8,2,18.982847520854186,78.17507645467758,2.0457435486068802
6,306.85,60.65,3.87,18.49,0,0,0,0.558,8.26,8.8048,,,60,8,3,18.890659067380366,78.17851165939275,1.848053029542173
7,297.46,59.35,4.97,16.09,0,0,0,0.627,8.85,9.5637,,,70,4,1,16.840100949816186,72.8347347323654,3.2262413631551716
7,293.87,60.36,4.97,16.3,0,0,0,0.622,8.78,10.1193,,,70,4,2,17.040859720096282,73.04311811395355,2.33068659411771
7,312.28,60.38,4.91,16.32,0,0,0,0.628,8.73,9.9724,,,70,4,3,17.042608368439378,73.25567395025585,2.2768618754768597
8,287.78,57.64,5.92,16.22,0,0,0,0.622,8.56,11.1813,,,70,6,1,17.266580437365125,69.94885300002417,5.053045286425473
8,292.89,58.51,5.87,16.19,0,0,0,0.618,8.57,11.89,,,70,6,2,17.22129495711632,70.07090049741527,4.291258556647459
8,294.71,58.72,5.73,16.83,0,0,0,0.618,8.39,11.6329,,,70,6,3,17.77868949051082,71.19816752871807,3.9176778836448545
9,247.09,57.6,6.51,16.27,0,0,0,0.608,8.04,8.7349,,,70,8,1,17.524069162155232,68.19251911603257,5.352712707901793
9,298.25,58.66,6.16,,0,0,0,0.606,8.0,8.8695,,,70,8,2,,,
9,300.55,58.18,6.34,16.38,0,0,0,0.608,8.05,8.4172,,,70,8,3,17.564168070250297,68.84070283790028,4.761169324161173
