,,,WAC,WAC,WAC,L_star,L_star,L_star,a_star,a_star,a_star,b_star,b_star,b_star,Chroma_C,Chroma_C,Chroma_C,Hue_deg,Hue_deg,Hue_deg,Delta_E_vs_T1,Delta_E_vs_T1,Delta_E_vs_T1,Aw,Aw,Aw,MC_percent,MC_percent,MC_percent,WSI,WSI,WSI
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Treatment,Temperature_C,Time_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,4,296.3933,11.2558,3,62.0833,0.4106,3,3.7833,0.0862,3,17.3267,0.1457,3,17.735,0.1506,3,77.6828,0.2505,3,0.341,0.1513,3,0.6323,0.0038,3,10.4033,0.0586,3,17.8743,1.7929,3
2,50,6,301.9033,28.4215,3,61.8733,0.2011,3,4.06,0.1493,3,17.6367,0.0551,3,18.0983,0.0867,3,77.0376,0.4219,3,0.48,0.2129,3,0.629,0.0017,3,9.9,0.2052,3,10.5237,0.7657,3
3,50,8,333.2233,10.0075,3,61.62,0.0458,3,3.8633,0.0058,3,17.23,0.0173,3,17.6578,0.0182,3,77.3621,0.006,3,0.4803,0.0446,3,0.607,0.0072,3,9.7567,0.0666,3,10.633,0.2108,3
4,60,4,341.2067,5.3695,3,61.29,0.296,3,3.6833,0.1415,3,18.5667,0.2532,3,18.9286,0.2751,3,78.7817,0.2797,3,1.5087,0.1515,3,0.62,0.0095,3,10.1333,0.2376,3,9.5154,0.0892,3
5,60,6,364.27,5.1415,3,60.5033,0.194,3,3.76,0.0557,3,18.1767,0.0321,3,18.5615,0.0335,3,78.3128,0.1693,3,1.7975,0.1571,3,0.5787,0.0175,3,8.93,0.0866,3,9.2499,0.0861,3
6,60,8,304.8267,10.0588,3,60.4633,0.1901,3,3.8767,0.0115,3,18.52,0.052,3,18.9214,0.0532,3,78.1774,0.002,3,2.0167,0.1561,3,0.5687,0.0105,3,8.29,0.0436,3,8.5521,0.2239,3
7,70,4,301.2033,9.7592,3,60.03,0.589,3,4.95,0.0346,3,16.2367,0.1274,3,16.9745,0.1164,3,73.0445,0.2105,3,2.6113,0.5333,3,0.6257,0.0032,3,8.7867,0.0603,3,9.8851,0.2879,3
8,70,6,291.7933,3.5928,3,58.29,0.5726,3,5.84,0.0985,3,16.4133,0.3612,3,17.4222,0.3096,3,70.406,0.6888,3,4.4207,0.5786,3,0.6193,0.0023,3,8.5067,0.1012,3,11.5681,0.3588,3
9,70,8,281.9633,30.2231,3,58.1467,0.5308,3,6.3367,0.175,3,16.325,0.0778,2,17.5441,0.0284,2,68.5166,0.4583,2,5.0569,0.4183,2,0.6073,0.0012,3,8.03,0.0265,3,8.6739,0.2322,3
