Response,Source,sum_sq,df,F,PR(>F),Significant_0.05
WAC,C(Temperature_C),9241.2217,2.0,18.7944,4e-05,True
WAC,C(Time_h),720.25099,2.0,1.4648,0.25739,False
WAC,C(Temperature_C):C(Time_h),7591.78664,4.0,7.7199,0.00083,True
WAC,Residual,4425.31553,18.0,,,False
L_star,C(Temperature_C),42.51287,2.0,143.9415,0.0,True
L_star,C(Time_h),5.91669,2.0,20.0329,3e-05,True
L_star,C(Temperature_C):C(Time_h),2.30518,4.0,3.9025,0.01877,True
L_star,Residual,2.65813,18.0,,,False
a_star,C(Temperature_C),21.0811,2.0,1003.154,0.0,True
a_star,C(Time_h),1.4917,2.0,70.9831,0.0,True
a_star,C(Temperature_C):C(Time_h),1.64841,4.0,39.2203,0.0,True
a_star,Residual,0.18913,18.0,,,False
b_star,C(Temperature_C),18.57463,2.0,326.039,0.0,True
b_star,C(Time_h),0.01244,2.0,0.2183,0.80609,False
b_star,C(Temperature_C):C(Time_h),0.57736,4.0,5.0671,0.00712,True
b_star,Residual,0.48425,17.0,,,False
Chroma_C,C(Temperature_C),10.06514,2.0,194.4641,0.0,True
Chroma_C,C(Time_h),0.12121,2.0,2.3419,0.12638,False
Chroma_C,C(Temperature_C):C(Time_h),0.95495,4.0,9.2251,0.00037,True
Chroma_C,Residual,0.43995,17.0,,,False
Hue_deg,C(Temperature_C),278.7109,2.0,1219.3265,0.0,True
Hue_deg,C(Time_h),12.63953,2.0,55.2964,0.0,True
Hue_deg,C(Temperature_C):C(Time_h),14.47419,4.0,31.6614,0.0,True
Hue_deg,Residual,1.94291,17.0,,,False
Delta_E_vs_T1,C(Temperature_C),52.61437,2.0,263.4131,0.0,True
Delta_E_vs_T1,C(Time_h),4.33906,2.0,21.7234,2e-05,True
Delta_E_vs_T1,C(Temperature_C):C(Time_h),4.56191,4.0,11.4196,0.00011,True
Delta_E_vs_T1,Residual,1.6978,17.0,,,False
Aw,C(Temperature_C),0.00589,2.0,44.6515,0.0,True
Aw,C(Time_h),0.00452,2.0,34.2475,0.0,True
Aw,C(Temperature_C):C(Time_h),0.00158,4.0,5.9848,0.00303,True
Aw,Residual,0.00119,18.0,,,False
MC_percent,C(Temperature_C),11.29432,2.0,389.8576,0.0,True
MC_percent,C(Time_h),5.35843,2.0,184.9624,0.0,True
MC_percent,C(Temperature_C):C(Time_h),1.46728,4.0,25.3238,0.0,True
MC_percent,Residual,0.26073,18.0,,,False
WSI,C(Temperature_C),74.79547,2.0,80.593,0.0,True
WSI,C(Time_h),45.33081,2.0,48.8445,0.0,True
WSI,C(Temperature_C):C(Time_h),75.31073,4.0,40.5741,0.0,True
WSI,Residual,8.35257,18.0,,,False
