,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
"The park's natural environment is consistently well-maintained,_num",0.20478512427523957,-0.1763178983337359,0.0888505399495195,-0.03738453786428709,0.0846985627606645,0.4429603528030651,0.32327895928183353,-0.09184214436071829,0.1921981665288618,-0.050002999954688473
Maintenance efforts contribute to a clean and eco-friendly park environment_num,0.18798330911760563,-0.23056569859029463,0.3012840643583706,0.10265030077536044,0.15858347310634696,0.2888554835033543,0.2735029613186108,-0.009189106486950512,0.24818701132703946,-0.0493827140393325
"Opportunities for tourists, locals, and management to participate in sustaining Paco Park (e.g., rules enforcement, volunteerism, aware activities) are evident._num",0.2036478072413994,-0.02874574339449831,-0.03226847179579865,-0.2156475902596196,0.40765249562599193,0.011932363459702862,-0.2706075753046169,-0.14166288727447052,-0.2810655267714768,-0.04430412833279334
"Proper waste segregation, cleanliness, and waste management practices are observed in Paco Park._num",0.21514903385660017,-0.11554521746257025,0.3958405975301402,-0.03020655981210896,0.027752984185431404,0.020888266275994202,-0.14677857805759342,-0.16414365018769844,0.05791754025680718,-0.32241106219604265
"Challenges brought by urbanization (e.g., noise pollution, overcrowding) are being managed effectively inside Paco Park._num",0.17364242466929886,0.1271966823196323,-0.04328015892475333,-0.38837043639096985,0.3847247165214999,-0.23175572719110588,0.022127359527202784,-0.19838437105652562,0.1998767981548637,0.25709710060843766
"Traditional and cultural events (e.g. concerts, heritage tours, religious activities) are supported and conducted inside Paco Park._num",0.20006354110638822,-0.1887647990942383,0.12066135601540126,-0.2421369264847246,-0.1000921212009154,0.1758850944635633,-0.28952911521403996,-0.16921180450204773,0.12718779922780493,-0.009335274684671354
"The management ensures that urbanization pressures (e.g., modernization, commercialization) do not compromise the cultural heritage of Paco Park._num",-0.1027813106579142,0.07230914904593747,0.05644973676876118,0.47786151134610455,0.6274788560575546,-0.2349797830731718,-0.09938564587366897,0.004287389012733088,0.22199060694953812,-0.08263252855591174
Visiting Paco Park gives me a deeper appreciation of Manila’s cultural heritage._num,-0.16555602316595822,0.31514361904231114,-0.04399265648305807,-0.2120428223126128,0.025402616303347763,0.21206237172655967,-0.10666022012755859,0.3025730444126869,0.15480396349758913,-0.3747311448899176
"Restoration efforts are noticeable (e.g., repairs of old structures, repainting or reinforcement of heritage features)._num",0.18637497406664558,-0.19245508845819292,0.016088428660997335,-0.2704960015151949,0.010269657611993346,-0.23277477065627608,0.34920818771770806,0.23725704481369952,-0.049315426403009684,0.3104415986514591
The preservation of Paco Park enhances local identity and pride in Manila’s cultural heritage._num,0.17101223909905072,-0.16720545458404454,0.31266083303408126,0.22506473866649862,-0.2214512417417439,-0.25370491057357253,-0.17896401295520165,-0.24910405440991917,-0.2367793705177966,0.13680450225587518
"Visitor facilities (seating areas, waste bins, restrooms) are sufficient and well-maintained._num",0.21280895690138515,-0.17748181466255697,-0.19937111480629618,-0.1480690727120914,0.0673098113574474,-0.06835148946519877,-0.21755192860638042,0.10271390033339192,-0.12768263981900257,-0.18226368825615633
The paths or walkways including access for wheelchairs/strollers are evident._num,0.20345049489878295,-0.13457241552858432,0.14987924784339862,0.03628443834370737,-0.03344943543321885,-0.3196313482509238,0.05077594383458767,0.4781199187337173,-0.06003079510960361,-0.07637621803615624
"Visitor pathways are well-marked to protect sensitive areas (e.g., gardens, historic structures)._num",0.21672561071495494,-0.17648039298423684,-0.12268768814224729,-0.12692623389785374,0.03588627515658133,-0.21922331114329013,0.017829561980221682,0.3418838955058469,0.1188469729328265,-0.28854736590610675
Security personnel are visible and approachable throughout the park._num,0.2211717091847174,-0.07364921115108222,-0.28585486090658163,0.10165008216141444,-0.06563711429727079,-0.03637598533136384,-0.15520223452835924,0.03789394125937018,0.3848342597991387,0.03353335803313495
