Material,Trial,Diameter_mm,Area_mm2,Peak_Load_N,Mean N,UTS_MPa,Mean MPa
Coated Abaca,1,1.2,1.130973355,600,584.0,530.516477,345.1187286
Coated Abaca,2,1.5,1.767145868,580,,328.2128604,
Coated Abaca,3,1.6,2.010619298,530,,263.6003745,
Coated Abaca,4,1.5,1.767145868,560,,316.8951756,
Coated Abaca,5,1.7,2.269800692,650,,286.3687557,
Uncoated Abaca,1,2.0,3.141592654,830,956.0,264.1972055,372.4038007
Uncoated Abaca,2,1.9,2.83528737,960,,338.5900174,
Uncoated Abaca,3,1.7,2.269800692,1040,,458.1900092,
Uncoated Abaca,4,2.3,4.154756284,930,,223.8398443,
Uncoated Abaca,5,1.5,1.767145868,1020,,577.2019269,
Commercial Catgut,1,1.0,0.7853981634,260,270.0,331.0422816,343.7746771
Commercial Catgut,2,1.0,0.7853981634,270,,343.7746771,
Commercial Catgut,3,1.0,0.7853981634,290,,369.239468,
Commercial Catgut,4,1.0,0.7853981634,280,,356.5070725,
Commercial Catgut,5,1.0,0.7853981634,250,,318.3098862,
